                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.142,                   0.79,                      1,                 1.0768,             0.00023491,             0.00023491,             0.00023491
                      2,                0.63988,                   0.85,                      1,                0.95957,             0.00042609,             0.00042609,             0.00042609
                      3,                0.52643,                  0.805,                      1,                 0.9375,             0.00057015,             0.00057015,             0.00057015
                      4,                0.48669,                   0.85,                      1,                0.93649,             0.00050194,             0.00050194,             0.00050194
                      5,                0.44102,                  0.955,                      1,                0.85728,             0.00050194,             0.00050194,             0.00050194
                      6,                0.34994,                   0.94,                      1,                0.83202,             0.00043126,             0.00043126,             0.00043126
                      7,                0.31417,                   0.94,                      1,                0.83217,             0.00036057,             0.00036057,             0.00036057
                      8,                0.24865,                  0.965,                      1,                 0.8002,             0.00028988,             0.00028988,             0.00028988
                      9,                0.24853,                   0.99,                      1,                0.79641,              0.0002192,              0.0002192,              0.0002192
                     10,                0.19921,                  0.965,                      1,                0.79232,             0.00014851,             0.00014851,             0.00014851
